Expiry Time,Risk-Free Rate,Volatility,Strike Price,Original Method Price,Optimized Method Price,Basis,Call Flag,Original Computation Time,Optimized Computation Time
1,0.05,0.3,102,12.753,13.1374,1,1,28.8465,53.8396
1,0.05,0.3,102,12.753,13.3072,2,1,28.8465,49.8769
1,0.05,0.3,105,11.2414,11.8684,0,1,26.8517,35.8376
1,0.05,0.3,105,11.2414,11.9912,1,1,26.8517,57.0754
1,0.05,0.3,105,11.2414,11.9506,2,1,26.8517,53.3554
1,0.05,0.3,110,8.73494,9.79814,0,1,24.0021,38.4264
1,0.05,0.3,110,8.73494,9.94493,1,1,24.0021,61.8872
1,0.05,0.3,110,8.73494,10.0225,2,1,24.0021,58.3314
1,0.05,0.3,120,5.24839,6.86029,0,1,19.4687,41.8487
1,0.05,0.3,120,5.24839,6.86967,1,1,19.4687,67.9155
1,0.05,0.3,120,5.24839,6.88882,2,1,19.4687,64.8644
1,0.05,0.3,150,1.74048,2.07728,0,1,12.0939,45.9816
1,0.05,0.3,150,1.74048,2.08829,1,1,12.0939,74.9331
1,0.05,0.3,150,1.74048,2.04083,2,1,12.0939,72.1083
1,0.05,0.3,98,9.63067,8.27808,0,0,28.603,30.4679
1,0.05,0.3,98,9.63067,8.47796,1,0,28.603,48.4713
1,0.05,0.3,98,9.63067,8.52412,2,0,28.603,44.2986
1,0.05,0.3,95,7.99374,7.33489,0,0,26.445,28.5734
1,0.05,0.3,95,7.99374,7.0508,1,0,26.445,44.652
1,0.05,0.3,95,7.99374,7.14185,2,0,26.445,40.8571
1,0.05,0.3,90,5.8987,5.15205,0,0,23.226,24.8359
